 ,Initials,Lake,Fish_ID,Voucher,Mass,Length,Spines,Fin,Fibrosis,Sex,Repro_State,Gut,Liver,Schisto_Free,Schisto_cyst,Eust,Notes,Page number 
7/12/23,GAC,amor,16,1,0.43,35.93,Y,Y,0,M,3,Y,,0,0,0,,GCP = Gill Copepod Parasite 
7/12/23,GAC,amor,17,2,0.64,39.5,Y,Y,0,M,3,Y,,0,0,0,,
7/12/23,GAC,amor,18,3,0.62,39.28,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,GAC,amor,19,4,0.44,35.74,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,GAC,amor,20,5,0.8,43.13,Y,Y,0,M,3,Y,,0,0,0,,
7/12/23,GAC,amor,21,6,0.6,38.64,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,GAC,amor,22,7,0.57,39.26,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,GAC,amor,23,8,0.41,36.12,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,GAC,amor,24,9,1.29,46.96,Y,Y,0,M,3,Y,,0,0,0,,
7/12/23,GAC,amor,25,10,1.13,46.57,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,GAC,amor,26,11,1,45.65,Y,Y,0,M,3,Y,,0,0,0,,
7/12/23,GAC,amor,27,12,0.73,40.62,Y,Y,0,M,3,Y,,1,0,0,,
7/12/23,GAC,amor,28,13,0.77,41.97,Y,Y,0,M,3,Y,,1,0,0,,
7/12/23,CHP,amor,29,14,1.04,44.85,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,CHP,amor,30,15,0.39,34.76,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,CHP,amor,31,16,0.27,30.77,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,CHP,amor,32,17,0.27,31.75,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,CHP,amor,33,18,0.95,44.04,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,CHP,amor,34,19,0.7,41.24,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,CHP,amor,35,20,0.53,37.77,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,CHP,amor,36,21,0.71,40.13,Y,Y,0,M,3,Y,,0,0,0,,
7/12/23,CHP,amor,37,22,0.98,41.9,Y,Y,0,M,?,Y,,5,0,0,,
7/12/23,CHP,amor,38,23,0.73,42.67,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,CHP,amor,39,24,1.3,47,Y,Y,0,F,3,Y,,0,0,0,,
7/12/23,CHP,amor,40,25,0.66,40.34,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,GAC,amor,41,26,0.54,37.98,Y,Y,0,M,2,Y,,1,0,0,,
7/13/23,GAC,amor,42,27,0.65,40.15,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,GAC,amor,43,X,0.86,44.12,Y,Y,0,M,3,Y,,0,0,0,,
7/13/23,GAC,amor,44,X,1.13,47.14,Y,Y,0,F,3,Y,,1,0,0,,
7/13/23,GAC,amor,45,X,0.56,39.81,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,GAC,amor,46,X,0.53,38.12,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,GAC,amor,47,X,0.53,36.79,Y,Y,0,M,3,Y,,1,0,0,,
7/13/23,GAC,amor,48,X,0.66,40.47,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,GAC,amor,49,X,0.36,34.8,Y,Y,0,M,3,Y,,0,0,0,,
7/13/23,GAC,amor,50,X,0.48,36.76,Y,Y,0,F,2,Y,,1,0,0,,
7/13/23,GAC,amor,51,X,0.85,41.97,Y,Y,0,M,3,Y,,0,0,0,,
7/13/23,GAC,amor,52,X,0.43,35.74,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,GAC,amor,53,X,0.45,36.03,Y,Y,0,M,3,Y,,0,0,0,,
7/13/23,GAC,amor,54,X,0.71,39.03,Y,Y,0,F,3,Y,,2,0,0,,
7/13/23,GAC,amor,55,X,0.45,35.35,Y,Y,0,F,2,Y,,0,0,0,,
7/13/23,GAC,amor,56,X,0.47,36.27,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,GAC,amor,57,X,0.96,43.41,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,GAC,amor,58,X,0.48,38.64,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,GAC,amor,59,X,0.42,36.08,Y,Y,0,F,2,Y,,1,0,0,,
7/13/23,GAC,amor,60,X,0.59,38.61,Y,Y,0,M,3,Y,,1,0,0,,
7/13/23,CHP,amor,61,X,1,43.77,Y,Y,0,F,3,Y,,2,0,1,,
7/13/23,CHP,amor,62,X,0.41,34.26,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,CHP,amor,63,X,0.63,38.42,Y,Y,0,M,3,Y,,1,0,0,,
7/13/23,CHP,amor,64,X,0.64,40.16,Y,Y,0,M,3,Y,,0,0,0,,
7/13/23,CHP,amor,65,X,0.61,37.57,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,CHP,amor,66,X,0.74,38.45,Y,Y,0,?,?,Y,,1,0,0,,
7/13/23,CHP,amor,67,X,0.5,35.34,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,CHP,amor,68,X,0.68,38.45,Y,Y,0,M,3,Y,,1,0,0,,
7/13/23,CHP,amor,69,X,0.63,37.78,Y,Y,0,M,2,Y,,1,0,0,,
7/13/23,CHP,amor,70,X,0.36,33.73,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,CHP,amor,71,X,0.38,32.93,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,CHP,amor,72,X,0.51,35.81,Y,Y,0,M,2,Y,,1,0,0,,
7/13/23,CHP,amor,73,X,0.55,38.15,Y,Y,0,F,3,Y,,0,0,0,,
7/13/23,CHP,amor,74,X,0.49,35.95,Y,Y,0,M,3,Y,,0,0,0,,
7/14/23,AEC,amor,75,X,0.42,35.27,Y,Y,0,F,3,Y,,0,0,0,,
7/14/23,AEC,amor,76,X,0.45,34.31,Y,Y,0,M,1,Y,,0,0,0,,
7/14/23,AEC,amor,77,X,0.38,35.02,Y,Y,0,F,3,Y,,0,0,0,,
7/14/23,AEC,amor,78,X,0.49,35.35,Y,Y,0,F,3,Y,,0,0,0,,
7/14/23,AEC,amor,79,X,NA,NA,Y,Y,0,F,3,Y,,0,0,0,,
7/14/23,AEC,amor,80,X,0.62,39.65,Y,Y,0,F,3,Y,,0,0,0,,
7/14/23,AEC,amor,81,X,0.31,32.63,Y,Y,0,M,3,Y,,0,0,0,,
7/14/23,AEC,amor,82,X,0.38,33.44,Y,Y,0,F,3,Y,,0,0,0,,
7/14/23,AEC,amor,83,X,0.36,33.04,Y,Y,0,M,1,Y,,1,0,0,,
