Date,Lake,FishID,Initials,Mass,Length,Fibrosis,Sex,Repro_State,Schisto_Free,Schisto_Cyst,Eust,Notes,
6/1/23,frederick,1,AKH,0.81,43.8,0,M,3,0,0,0,,
6/1/23,frederick,2,AKH,0.87,44.51,0,F,2,0,0,0,,
6/1/23,frederick,3,AKH,1.12,45.7,0,F,3,0,0,0,,
6/1/23,frederick,4,AKH,1.14,50.15,0,M,2,0,0,0,,
6/1/23,frederick,5,AKH,0.88,45.3,0,M,3,0,0,0,,
6/1/23,frederick,6,AKH,0.88,44.71,0,M,3,1,0,0,,
6/1/23,frederick,7,AKH,1.04,44.17,0,M,3,7,0,0,,
6/1/23,frederick,8,AKH,0.81,42.38,0,M,3,2,0,0,,
6/1/23,frederick,9,AKH,1.17,43.59,0,F,3,0,0,0,Full gut,
6/1/23,frederick,10,AKH,1.15,48.91,0,M,2,0,0,0,,
6/1/23,frederick,11,AKH,0.88,44.32,0,M,3,0,0,0,,
6/1/23,frederick,12,AKH,2.28,54.63,0.5,F,2,8,0,0,"Gills swabbed twice, first swab dropped, fish was in MS-222 for a minute before second swab",
6/1/23,frederick,13,AKH,1.26,44.72,0,F,3,5,0,0,Huge head kidneys,
6/1/23,frederick,14,AKH,0.86,43.78,0,F,3,1,0,0,"Maybe not Schisto, long skinny worm",
6/1/23,frederick,15,AKH,1.3,49.27,0,F,2,0,0,0,,
6/1/23,frederick,16,AKH,1.55,53.27,0,F,3,1,0,0,,
6/1/23,frederick,17,AKH,0.88,41.84,0,F,3,0,0,0,,
6/2/23,sarita,1,AKH,2.55,56.36,0,F,3,0,0,0,,
6/2/23,sarita,2,AKH,2.58,61.03,0,F,3,0,0,0,"weird, cloudy gull bladder",
6/2/23,sarita,3,AKH,3.07,65.46,0,F,2,0,0,0,"Full belly, big head kidney",
6/2/23,sarita,4,AKH,2.66,65.07,0,F,2,0,0,0,Injured eye (cloudy),
6/2/23,sarita,5,AKH,0.87,43.97,0,M,2,0,0,0,Has Glugia cyst,
6/2/23,sarita,6,AKH,2.34,57.66,0,F,3,0,0,0,It is gravid,
6/2/23,sarita,7,AKH,3.22,63.75,0,M,3,0,0,0,Melonized testes and spleen,
6/2/23,sarita,8,AKH,3.64,66.02,0.5,F,3,0,0,0,,
6/2/23,sarita,9,AKH,3.08,63.54,0,F,3,0,0,0,Weird gull bladder,
6/2/23,sarita,10,AKH,2.85,65.31,0,F,3,0,0,0,,
6/2/23,bewlay,1,AKH,1,44.48,0,M,3,0,0,0,,
6/2/23,bewlay,2,AKH,0.76,39.04,0,M,3,0,1,0,,
6/2/23,bewlay,3,AKH,0.74,40.36,0,M,3,0,0,0,,
6/2/23,bewlay,4,AKH,0.46,34.16,0,M,3,0,0,0,,
6/2/23,bewlay,5,AKH,0.87,44.79,0,M,3,0,0,2,Saved Eust for RNA,
6/2/23,bewlay,6,AKH,0.61,37.88,0,M,3,0,0,0,Weird gull bladder,
6/2/23,bewlay,7,AKH,0.96,45.05,0,M,3,0,0,0,With #10 in teabag,
6/2/23,bewlay,8,AKH,0.84,40.17,0,M,3,0,0,0,"No teabag, left spine removed",
6/2/23,bewlay,9,AKH,0.72,38.55,0.5,M,3,4,0,0,"Really small Schisto, no teabag, right spine removed",
6/2/23,bewlay,10,AKH,0.54,36.47,0,F,3,0,0,0,With #7 in teabag,
6/2/23,bewlay,11,AKH,0.82,39.76,0,F,3,0,0,0,"Left spine clipped, no teabag",
6/2/23,bewlay,12,AKH,0.7,39.93,0.5,M,3,0,0,0,"Both spines clipped, no teabag",
6/3/23,pachena,1,AKH,1.05,45.78,0,F,3,10,1,0,,
6/3/23,pachena,2,AKH,0.78,41.07,0,F,3,0,0,0,,
6/3/23,pachena,3,AKH,1.19,45.45,0,M,3,6,0,0,,
6/3/23,pachena,4,AKH,0.65,38.92,0,F,3,1,0,0,Tiny,
6/3/23,pachena,5,AKH,0.83,45.02,0,F,3,2,0,0,Tiny,
6/3/23,pachena,6,AKH,0.71,38.47,0,F,3,5,0,0,Tiny,
6/3/23,pachena,7,AKH,0.58,38.75,0,M,3,1,0,0,"Tiny worm, not kept",
6/3/23,pachena,8,AKH,0.64,39.79,0,M,3,3,0,0,Photo + tiny worms,
6/3/23,pachena,9,AKH,0.83,44.29,0,M,3,6,0,0,Tiny,
