LAKE_CODE,LAKE,DEPTH,MONTH, YEAR,RAW_COPE_COPIES,ADJUSTED_COPE_COPIES,COPE_COUNTS,RAW_WORM_COPIES,ADJUSTED_WORM_COPIES,WORM_COUNTS,INFECTION_BURDEN
AMO,amor,DEEP,JUNE,2023,573,57300,16.80573683,0,0,0,0
ANU,anutz,DEEP,JUNE,2023,325,32500,9.532049684,0,0,0,0
BEA,beaver,DEEP,JUNE,2023,263,26300,7.713627898,0,0,0,0
BLA,black,DEEP,JUNE,2023,95,9500,2.786291446,33.8,338,0.2114389736,0.07588544762
BLK,blackwater,DEEP,JUNE,2023,329,32900,9.649367219,0,0,0,0
BRB,brownbay,DEEP,JUNE,2023,1870,187000,54.84594741,0,0,0,0
BRE,brewster,DEEP,JUNE,2023,926,92600,27.15900925,0,0,0,0
CED,cedar,DEEP,JUNE,2023,297,29700,8.710826942,0,0,0,0
COM,comida,DEEP,JUNE,2023,30,3000,0.8798815093,0,0,0,0
ECH,echo,DEEP,JUNE,2023,464,46400,13.60883401,0,0,0,0
FAR,far,DEEP,JUNE,2023,2520,252000,73.91004678,0,0,0,0
FRE,frederick,DEEP,JUNE,2023,84,8400,2.463668226,0,0,0,0
FRY,fry,DEEP,JUNE,2023,42.4,4240,1.243565866,0,0,0,0
GRA,gramma,DEEP,JUNE,2023,27.2,2720,0.7977592351,0,0,0,0
GRY,gray,DEEP,JUNE,2023,22,2200,0.6452464401,0,0,0,0
JOE,joe,DEEP,JUNE,2023,432,43200,12.67029373,0,0,0,0
L2B,skating pond,DEEP,JUNE,2023,400,40000,11.73175346,3.5,35,0.02189456827,0.001866265631
LAW,lawson,DEEP,JUNE,2023,285,28500,8.358874338,1,10,0.006255590934,0.0007483771955
LCL,lowercampbell,DEEP,JUNE,2023,948,94800,27.80425569,0,0,0,0
LML,littlemud,DEEP,JUNE,2023,7.7,770,0.2258362541,0,0,0,0
LST,lowerstella,DEEP,JUNE,2023,61,6100,1.789092402,1.3,13,0.008132268215,0.004545471326
MCN,mcn,DEEP,JUNE,2023,172,17200,5.044653987,0,0,0,0
MCR,mccreight,DEEP,JUNE,2023,3460,346000,101.4796674,0,0,0,0
MER,merrill,DEEP,JUNE,2023,2054,205400,60.242554,0.8,8,0.005004472748,0.0000830720548
MOH,mohun,DEEP,JUNE,2023,237,23700,6.951063923,0,0,0,0
MSK,msk,DEEP,JUNE,2023,1.4,140,0.0410611371,0,0,0,0
MUD,mud,DEEP,JUNE,2023,1920,192000,56.31241659,0,0,0,0
NIM,nimpkish,DEEP,JUNE,2023,111,11100,3.255561584,0,0,0,0
ORM,ormand,DEEP,JUNE,2023,1068,106800,31.32378173,0,0,0,0
PCH,pachena,DEEP,JUNE,2023,1304,130400,38.24551627,1.8,18,0.01126006368,0.0002944152617
ROB,roberts,DEEP,JUNE,2023,2234,223400,65.52184306,0,0,0,0
ROS,roselle,DEEP,JUNE,2023,309,30900,9.062779546,1.9,19,0.01188562278,0.001311476542
RSS,rss,DEEP,JUNE,2023,34.8,3480,1.020662551,0,0,0,0
SRA,sarita,DEEP,JUNE,2023,520,52000,15.25127949,0,0,0,0
STE,stella,DEEP,JUNE,2023,2087,208700,61.21042366,0,0,0,0
SUG,sug saw,DEEP,JUNE,2023,443,44300,12.99291695,0.35,3.5,0.002189456827,0.0001685115694
THE,theimer,DEEP,JUNE,2023,192,19200,5.631241659,0,0,0,0
TSI,tsiko,DEEP,JUNE,2023,349,34900,10.23595489,0,0,0,0
VER,vernon,DEEP,JUNE,2023,387,38700,11.35047147,0,0,0,0
WOS,woss,DEEP,JUNE,2023,312,31200,9.150767697,0,0,0,0
BOO,boot,SHALLOW,JUNE,2023,180,18000,5.279289056,7.6,76,0.0475424911,0.009005472252
KID,kidney,SHALLOW,JUNE,2023,109,10900,3.196902817,0,0,0,0
