Date,Time,Site,UnitID,UserID,TemperatureCelcius,mmHg,PercentDissolvedOxygen,DissolvedOxygenmgL,SPCuSpercm,pH,pHmV,ORPmV,PhycocyaninRFU,ChlorophyllRFU,fDOMRFU,fDOMQSU,DepthMeters,Vposm,DEPpsia,WiperV,CableVNotSure,CableV,ALTm,Latitude,Longitude
6/4/23,1:06:43 AM,black,rental,,18.666,760.9,113.1,10.57,25.4,7.25,-26.4,145.5,0.1,0.29,13.24,40.11,-0.081,-0.07,-0.114,1.192,,12.1,105.7,48.77636,-125.0968
6/4/23,1:07:35 PM,black,rental,,19.504,760.8,109.9,10.09,24.9,6.94,-9.2,148,0.03,0.29,13.16,39.86,-0.011,0.011,-0.015,1.192,,12.1,108,48.77633,-125.0968
6/4/23,1:10:32 PM,black,rental,,19.237,760.7,108.8,10.04,24.8,6.8,-1.4,155.3,-0.01,0.37,13.44,40.71,1.142,1.119,1.622,1.193,,12.1,95,48.77637,-125.0967
6/4/23,1:10:40 PM,black,rental,,19.252,760.8,108.9,10.05,24.8,6.78,-0.5,156.2,0,0.37,13.45,40.73,2.066,2.06,2.933,1.192,,12.1,96.3,48.77637,-125.0967
6/4/23,1:11:26 PM,black,rental,,19.135,760.7,108,9.99,24.6,6.8,-1.3,156.4,0.03,0.43,13.84,41.93,3.162,3.155,4.49,1.192,,12,106.7,48.77631,-125.0967
6/4/23,1:13:07 PM,black,rental,,15.606,760.7,101.5,10.05,24.6,6.63,7.7,163.3,0.07,0.69,16.93,51.32,4.112,4.073,5.843,1.192,,12,107.9,48.77631,-125.0967
6/4/23,1:14:12 PM,black,rental,,10.422,760.8,105.6,11.8,22.9,6.42,18.3,170.4,0.1,1.15,20.83,63.17,5.041,5.069,7.168,1.192,,12.1,106,48.77632,-125.0968
6/4/23,1:15:00 PM,black,rental,,9.187,760.7,102.4,11.78,22.5,6.34,22.6,174.5,0.09,1.11,21.38,64.85,6.053,6.042,8.608,1.192,,12.1,107.1,48.77631,-125.0968
6/4/23,1:15:42 PM,black,rental,,8.581,760.7,101.6,11.87,22.7,6.29,25.2,177.5,0.11,1.02,21.62,65.59,6.961,7.017,9.898,1.192,,12,104.6,48.77632,-125.0968
6/4/23,1:16:21 PM,black,rental,,8.032,760.7,99.5,11.78,22.7,6.22,28.6,181.2,0.12,0.75,21.73,65.91,8.054,8.043,11.453,1.192,,12.1,105.5,48.77631,-125.0967
6/4/23,1:17:00 PM,black,rental,,7.821,760.7,99.2,11.8,22.8,6.19,30.2,183.7,0.11,0.73,21.81,66.17,9.049,9.023,12.869,1.192,,12.1,106.2,48.77632,-125.0968
6/4/23,1:17:35 PM,black,rental,,7.613,760.7,97.9,11.71,22.8,6.15,32.5,186.2,0.08,0.64,21.89,66.41,10.109,10.117,14.376,1.192,,12,105.2,48.77633,-125.0967
6/4/23,1:18:13 PM,black,rental,,7.395,760.7,97.5,11.72,22.8,6.1,34.9,189.3,0.08,0.62,21.94,66.56,11.203,11.2,15.932,1.192,,12,106.9,48.77633,-125.0968
6/4/23,1:19:00 PM,black,rental,,7.328,760.7,97,11.68,22.9,6.09,35.4,190.3,0.09,0.62,21.97,66.63,12.302,12.312,17.496,1.192,,12.1,104.7,48.77632,-125.0968
6/4/23,1:19:30 PM,black,rental,,7.246,760.7,96.4,11.63,22.9,6.08,35.9,191,0.09,0.59,21.99,66.7,13.301,13.313,18.916,1.191,,12,104.8,48.77632,-125.0968
6/4/23,1:20:14 PM,black,rental,,7.086,760.6,95.1,11.52,23,6.05,37.4,192.8,0.1,0.59,22.03,66.82,14.49,14.509,20.607,1.192,,12,106.5,48.77633,-125.0968
6/4/23,1:20:45 PM,black,rental,,7.075,760.6,94.9,11.5,23,6.05,37.4,193.5,0.11,0.58,22.05,66.88,15.405,15.414,21.908,1.191,,12,106.8,48.77631,-125.0968
6/4/23,1:21:27 PM,black,rental,,7.025,760.6,93.8,11.37,51.5,6.03,38.4,192.9,0.91,0.46,-0.82,-2.65,15.543,15.96,22.105,1.191,,12,108.4,48.7763,-125.0968
6/4/23,1:43:12 PM,black,rental,,0,760.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
6/4/23,1:43:26 PM,black,rental,,19.5,760.6,110.1,10.11,24.9,7.04,-14.4,124.4,0,0.31,13.06,39.57,0.359,0.34,0.51,1.192,,12,105.2,48.78028,-125.0965
6/4/23,1:45:13 PM,black,rental,,19.556,760.4,109.7,10.06,24.9,6.92,-8.3,130.7,0.04,0.37,13.05,39.52,1.073,1.06,1.524,1.192,,12,105.6,48.78026,-125.0965
6/4/23,7:09:58 PM,black,rental,,,767,,,,,,,,,,,,,,,,,0,0,0
6/4/23,7:10:16 PM,black,rental,,21.171,767.1,107.3,9.52,25.5,6.36,22.7,136.8,0.21,1.64,28.02,85.04,0.569,0.731,0.807,1.193,,12,0,0,0
6/4/23,7:10:42 PM,black,rental,,19.538,766.9,104.9,9.63,25.6,6.19,32,141.8,0.07,1.33,28.23,85.68,0.703,0.756,0.998,1.193,,12,27.1,48.81373,-125.1265
6/4/23,7:13:03 PM,black,rental,,20.304,766.9,109.5,9.9,25.7,6.15,34.5,152.7,0.12,2.65,27.84,84.49,0.574,0.395,0.815,1.193,,12,20.5,48.81369,-125.1264
6/4/23,7:15:38 PM,black,rental,,19.76,766.8,102.4,9.35,25.5,6.09,37.6,164,0.09,1.4,28.2,85.6,0.694,1.201,0.986,1.193,,12.1,18.9,48.8137,-125.1263
6/4/23,7:17:32 PM,black,rental,,17.946,766.8,87.9,8.33,25.5,5.81,52.6,175.5,2.06,1.79,26.42,80.17,1.262,1.203,1.792,1.193,,12.1,20.7,48.81372,-125.1262
6/4/23,7:18:17 PM,black,rental,,18.584,766.9,77.5,7.24,34,5.94,45.4,155,13.16,11.44,-0.64,-2.09,1.161,1.172,1.649,1.193,,12,23.3,48.81374,-125.1262
6/4/23,7:18:29 PM,skating pond,rental,,18.455,766.8,57.6,5.4,39.8,5.92,46.8,150.8,10.54,38.27,-0.56,-1.85,1.18,1.16,1.676,1.193,,12.1,23,48.81373,-125.1262
6/4/23,7:23:21 PM,skating pond,rental,,12.674,766.8,67.3,7.14,22.4,5.31,78.4,187.7,0.14,1.73,33.99,103.19,2.028,1.914,2.883,1.192,,12,22.2,48.81406,-125.1262
6/4/23,7:31:06 PM,skating pond,rental,,20.026,766.8,111.4,10.13,25.8,6.55,12.5,147,0.53,2.49,19.82,60.1,0.181,0.405,0.258,1.192,,12.1,23.1,48.81357,-125.1268
6/4/23,7:31:18 PM,skating pond,rental,,19.471,766.8,102.1,9.37,25.5,6.16,33.8,151.2,0.07,1.3,29.09,88.3,1.16,1.163,1.647,1.192,,12,23.9,48.81357,-125.1268
6/4/23,7:31:31 PM,skating pond,rental,,13.929,766.8,78,8.04,23.8,5.45,71.1,175,0.07,1.55,31.9,96.83,2.131,2.158,3.029,1.192,,12,22.3,48.81355,-125.1267
6/4/23,7:32:59 PM,skating pond,rental,,7.836,766.7,9.7,1.15,25.6,5.49,67.3,176.2,0.43,1.57,20.07,60.87,4.052,4.092,5.763,1.192,,12.1,22.5,48.81344,-125.1266
6/4/23,7:33:20 PM,skating pond,rental,,7.836,766.8,6,0.72,25.5,5.38,73.3,160.8,1.68,1.17,20.31,61.61,4.044,4.12,5.751,1.192,,12,22.7,48.8134,-125.1266
6/4/23,7:33:30 PM,skating pond,rental,,7.882,766.8,6.1,0.73,24.4,5.38,72.9,162.5,0.68,1.63,31.51,95.63,3.122,3.129,4.44,1.192,,12.1,23.2,48.8134,-125.1266
6/5/23,2:26:30 PM,sug saw,rental,,19.194,763.8,114,10.54,28.4,7.32,-30,120.5,0.18,0.94,8.61,26.05,-0.001,0.205,-0.001,1.193,,12,39.6,48.84752,-125.0859
6/5/23,2:27:05 PM,sug saw,rental,,19.56,763.8,113.6,10.42,27.9,7.18,-22.4,120.4,0.01,0.26,8.81,26.64,0.579,0.795,0.822,1.193,,12,37.3,48.84747,-125.0859
6/5/23,2:27:32 PM,sug saw,rental,,19.229,763.8,113.2,10.45,27.9,7.1,-18.1,121.6,0,0.33,9.04,27.34,1.094,1.087,1.554,1.193,,12.1,37.2,48.84746,-125.0859
6/5/23,2:27:44 PM,sug saw,rental,,19.321,763.8,113.2,10.43,27.8,7.09,-17.3,121.7,0.01,0.34,8.99,27.2,2.037,2.082,2.892,1.193,,12,38.6,48.84746,-125.0859
6/5/23,2:27:54 PM,sug saw,rental,,19.065,763.8,112,10.37,27.7,7.08,-16.9,121.8,0.04,0.48,9.28,28.06,3.044,3.039,4.323,1.193,,12.1,36.9,48.84746,-125.0859
6/5/23,2:28:07 PM,sug saw,rental,,15.31,763.8,107.1,10.71,27.1,7.08,-16.6,121.9,0.05,1.13,16.78,50.85,4.079,4.093,5.796,1.193,,12.1,35.5,48.84747,-125.0859
6/5/23,2:28:22 PM,sug saw,rental,,12.111,763.7,112.1,12.04,24.7,7.01,-13.2,123,0.11,1.56,17.26,52.32,5.087,5.081,7.231,1.193,,12.1,35.4,48.84747,-125.0859
6/5/23,2:28:36 PM,sug saw,rental,,10.135,763.7,111,12.49,24.8,6.81,-2.5,125.2,0.12,1.84,17.71,53.69,6.087,6.086,8.656,1.192,,12,36.1,48.84746,-125.0859
6/5/23,2:28:50 PM,sug saw,rental,,9.23,763.6,105.8,12.15,24.8,6.74,1.1,127.6,0.14,1.82,18.04,54.69,7.108,7.127,10.107,1.192,,12,36.5,48.84747,-125.0859
6/5/23,2:29:10 PM,sug saw,rental,,8.467,763.6,103,12.05,25.1,6.54,11.9,130.6,0.14,1.72,18.25,55.33,8.095,8.086,11.511,1.192,,12,35.8,48.84747,-125.0859
6/5/23,2:29:21 PM,sug saw,rental,,8.232,763.7,101.4,11.94,25.2,6.5,14.1,132.6,0.12,1.23,18.35,55.66,9.09,9.112,12.926,1.192,,12,36.4,48.84747,-125.0859
6/5/23,2:30:03 PM,sug saw,rental,,7.362,763.7,95.8,11.53,25.7,6.34,22.1,137.2,0.09,0.64,18.59,56.38,10.151,10.181,14.436,1.192,,12,37.7,48.84749,-125.086
6/5/23,2:30:27 PM,sug saw,rental,,7.224,763.8,94.8,11.44,25.8,6.3,24.2,139.3,0.07,0.57,18.67,56.62,11.155,11.216,15.865,1.192,,12.1,38.6,48.84743,-125.086
