variable1,variable2,label1,label2,spearman_r
Polyphemidae_density_per_L,Polyphemidae_density_per_L,Polyphemidae,Polyphemidae,1
Calanoids_density_per_L,Calanoids_density_per_L,Calanoids,Calanoids,1
Diaphanosoma_density_per_L,Diaphanosoma_density_per_L,Diaphanosoma,Diaphanosoma,1
Cyclopoids_density_per_L,Cyclopoids_density_per_L,Cyclopoids,Cyclopoids,1
Asplanchna_density_per_L,Asplanchna_density_per_L,Asplanchna,Asplanchna,1
Brachionus.Keratella_density_per_L,Brachionus.Keratella_density_per_L,Brachionus Keratella,Brachionus Keratella,1
Rotifers..other._density_per_L,Rotifers..other._density_per_L,Rotifers other,Rotifers other,1
Nauplii_density_per_L,Nauplii_density_per_L,Nauplii,Nauplii,1
Bosmina_density_per_L,Bosmina_density_per_L,Bosmina,Bosmina,1
Holopedium_density_per_L,Holopedium_density_per_L,Holopedium,Holopedium,1
Daphnia_density_per_L,Daphnia_density_per_L,Daphnia,Daphnia,1
ConochilusColonies_density_per_L,ConochilusColonies_density_per_L,ConochilusColonies,ConochilusColonies,1
Chaoborus_density_per_L,Chaoborus_density_per_L,Chaoborus,Chaoborus,0.9999999999999999
WaterMites_density_per_L,WaterMites_density_per_L,WaterMites,WaterMites,0.9999999999999998
Chydorus_density_per_L,Chydorus_density_per_L,Chydorus,Chydorus,0.9999999999999998
Brachionus.Keratella_density_per_L,Rotifers..other._density_per_L,Brachionus Keratella,Rotifers other,0.7025573556895236
Diaphanosoma_density_per_L,Chaoborus_density_per_L,Diaphanosoma,Chaoborus,0.445786709344962
Brachionus.Keratella_density_per_L,Nauplii_density_per_L,Brachionus Keratella,Nauplii,0.4326053285316202
Nauplii_density_per_L,Bosmina_density_per_L,Nauplii,Bosmina,0.3942612018005685
Bosmina_density_per_L,Daphnia_density_per_L,Bosmina,Daphnia,-0.3784815603030804
Calanoids_density_per_L,Nauplii_density_per_L,Calanoids,Nauplii,0.37177994885408494
Polyphemidae_density_per_L,Rotifers..other._density_per_L,Polyphemidae,Rotifers other,0.3674816084247243
