"Lake","LakeID","Elevation_m","Surface_Area_ha","Perimeter_m","MaxDepth_m","MeanDepth_m","Littoral_Area_ha","TDS_surface_ppm","TDS_deep_ppm","Depth_Ratio"
"AMO","amor","209.0","362.21","20702.0","48.8","14.6","n/a","n/a","n/a","0.2991803279"
"ANU","anutz","45.0","98.34","4755.0","41.5","13.2","n/a","33.0","n/a","0.3180722892"
"BEA","beaver","83.0","17.4","1860.0","13.0","4.9","6.47","n/a","n/a","0.3769230769"
"BEW","bewlay","69.0","12.5","1800.0","9.0","n/a","n/a","n/a","n/a","#VALUE!"
"BLA","black","110.0","129.99","8400.0","27.2","11.1","45.09","n/a","n/a","0.4080882353"
"BLK","blackwater","188.0","37.5","6000.0","28.0","28.13","n/a","n/a","n/a","1.004642857"
"BOO","boot","236.0","98.67","6325.0","32.0","11.9","67.04","n/a","n/a","0.371875"
"BRE","brewster","189.0","413.25","13500.0","56.4","24.5","24.8","34.0","n/a","0.4343971631"
"BRB","brownbay","107.0","7.9","1300.0","18.5","7.2","3.9","n/a","n/a","0.3891891892"
"CED","cedar","204.0","31.0","490.0","20.0","3.0","26.35","n/a","n/a","0.15"
"COM","comida","212.0","21.1","3000.0","14.0","3.7","16.3","n/a","n/a","0.2642857143"
"DUG","dugout","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","#VALUE!"
"ECH","echo","220.0","24.4","2760.0","14.0","5.8","10.8","n/a","n/a","0.4142857143"
"FAR","far","207.0","18.75","2100.0","12.0","5.0","32.43","n/a","n/a","0.4166666667"
"FRE","frederick","83.0","40.87","3018.0","22.9","13.0","n/a","40.0","38.0","0.5676855895"
"FRY","fry","179.0","78.12","9000.0","n/a","n/a","54.68","n/a","n/a","#VALUE!"
"GRA","gramma","54.0","2.2","600.0","10.0","3.9","0.63","n/a","n/a","0.39"
"GRY","gray","183.0","62.5","5100.0","17.0","n/a","10.6","n/a","n/a","#VALUE!"
"JOE","joe","289.0","7.35","1415.0","29.0","8.8","4.36","n/a","n/a","0.3034482759"
"KID","kidney","90.0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","#VALUE!"
"LAW","lawson","182.0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","#VALUE!"
"LML","littlemud","205.0","4.29","1801.0","12.2","4.8","63.0","n/a","n/a","0.393442623"
"LWO","littlewoss","153.0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","#VALUE!"
"TSI","tsiko","223.0","31.59","2820.0","37.0","20.8","4.23","n/a","n/a","0.5621621622"
"LCL","lowercampbell","179.0","2693.6","89155.0","75.6","17.1","n/a","n/a","n/a","0.2261904762"
"LST","lowerstella","133.0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","#VALUE!"
"MCR","mccreight","60.0","272.0","11900.0","55.0","31.4","37.82","26.0","n/a","0.5709090909"
"MCN","mcn","192.0","n/a","n/a","17.4","n/a","65.0","n/a","n/a","#VALUE!"
"MER","merrill","261.0","65.62","3600.0","29.0","11.1","26.25","n/a","n/a","0.3827586207"
"MOH","mohun","205.0","620.9","30200.0","43.0","14.0","172.3","37.0","n/a","0.3255813953"
"MSK","msk","188.0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","#VALUE!"
"MUC","muchalata","202.0","642.0","15962.0","63.0","38.0","n/a","12.0","11.0","0.6031746032"
"MUD","mud","207.0","38.73","4755.0","22.5","7.4","n/a","25.0","n/a","0.3288888889"
"NIM","nimpkish","25.0","3653.0","54282.0","320.0","122.0","n/a","17.0","n/a","0.38125"
"ORM","ormand","227.0","8.0","1600.0","19.0","n/a","5.44","n/a","n/a","#VALUE!"
"PCH","pachena","88.0","58.68","4389.0","26.2","10.7","n/a","30.0","29.0","0.4083969466"
"ROB","roberts","160.0","161.3","7570.0","53.0","25.0","25.7","40.0","n/a","0.4716981132"
"ROS","roselle","102.0","15.77","2550.0","6.0","2.1","0.42","n/a","n/a","0.35"
"RSS","rss","137.0","13.1","2120.0","11.0","5.8","n/a","24.0","28.0","0.5272727273"
"SRA","sarita","41.0","133.0","8778.0","28.7","14.6","n/a","31.0","36.0","0.5087108014"
"L2B","skating pond","22.0","6.95","1298.0","3.66","1.24","n/a","n/a","n/a","0.3387978142"
"STE","stella","130.0","422.97","22140.0","42.5","18.7","70.44","n/a","n/a","0.44"
"SUG","sug saw","44.0","56.2","5200.0","31.0","10.8","33.6","n/a","n/a","0.3483870968"
"THE","theimer","97.0","51.8","6692.0","25.0","5.5","15.1","n/a","n/a","0.22"
"UCL","uppercampbell","n/a","631.91","21726.0","39.6","12.2","n/a","n/a","n/a","0.3080808081"
"VER","vernon","207.0","779.86","20604.0","114.0","62.2","n/a","25.0","24.0","0.5456140351"
"WOS","woss","147.0","1366.0","38105.0","155.0","65.0","n/a","n/a","n/a","0.4193548387"
