SampleDate,LakeCode,LakeName,Location,Depth_Tow_m,Counter,DateCounted,DilutionVolume,No2mlSubsamplesCounted,Calanoids,Cyclopoids,Nauplii,Daphnia,Bosmina,Chydorus,Diaphanosoma,Holopedium,Chaoborus ,WaterMites,Brachionus/Keratella,ConochilusColonies,Asplanchna, Ciliate,Amoeboid,Rotifers (other) ,Polyphemidae
9-Jun-23,AMO,amor,Shallow,na,Ipsita Srinivas,8/26/24,100,5,3,3,12,1,46,0,0,1,0,0,25,2,0,0,0,65,0
9-Jun-23,AMO,amor,Deep,20.5,Ipsita Srinivas,8/26/24,100,5,11,9,42,6,10,0,0,13,0,1,500,17,0,0,0,500,5
27-Jun-23,ANU,anutz,Shallow,1.5,Ipsita Srinivas,7/12/24,100,5,2,4,2,0,9,0,2,0,1,0,0,2,0,0,0,0,0
27-Jun-23,ANU,anutz,Deep,28.5,Ipsita Srinivas,7/12/24,100,5,7,40,40,0,57,0,0,0,0,0,0,0,0,0,0,55,0
24-Jun-23,BEA,beaver,Shallow,2,Ipsita Srinivas,8/3/24,100,5,8,19,101,0,120,0,0,0,0,0,3,0,0,0,0,35,0
24-Jun-23,BEA,beaver,Deep,8,Ipsita Srinivas,8/10/24,100,5,14,112,120,0,294,0,0,5,0,0,3,0,0,0,0,500,0
4-Jun-23,BLA,black,Shallow,0.5,Ipsita Srinivas,7/30/24,100,5,3,31,50,1,3,0,0,3,0,0,14,0,0,0,0,0,0
4-Jun-23,BLA,black,Deep,14,Ipsita Srinivas,8/1/24,100,3,35,221,106,1,33,0,0,16,0,0,40,0,0,0,0,15,0
9-Jun-23,BLK,blackwater,Shallow,1.5,Ipsita Srinivas,8/30/24,100,5,2,17,23,2,9,0,1,12,0,0,200,15,1,0,0,500,0
9-Jun-23,BLK,blackwater,Deep,11,Ipsita Srinivas,8/30/24,100,5,3,111,110,12,88,0,4,17,0,0,500,25,0,0,0,55,0
17-Jun-23,BOO,boot,Shallow,1.25,Ipsita Srinivas,7/16/24,100,5,16,29,32,1,4,0,3,3,0,0,0,47,0,0,0,40,0
17-Jun-23,BOO,boot,Deep,17.5,Ipsita Srinivas,7/16/24,100,5,28,79,137,36,9,1,12,50,0,0,0,18,0,0,0,20,0
20-Jun-23,BRB,brownbay,Shallow,2,Ipsita Srinivas,3/30/24,100,5,100,26,31,8,296,0,23,82,0,0,0,4,0,0,0,0,0
