from,to,direct_included,n_indirect_paths,median,q2.5,q97.5,n_draws,nonzero_95,median_std,q2.5_std,q97.5_std,nonzero_95_std,from_label,to_label
cal_log1p,cyc_log1p,TRUE,0,0.03308763732657894,-0.38213531188899164,0.4326469260652197,12000,FALSE,0.02768622606350899,-0.3197534029820084,0.36201921831093836,FALSE,calanoids,cyclopoids
chl_log1p,cal_log1p,FALSE,2,-0.08293317439610305,-0.6198414251524542,0.4372299660093301,12000,FALSE,-0.031289874314406566,-0.23386009795368784,0.16496258321889395,FALSE,chlorophyll,calanoids
chl_log1p,cyc_log1p,FALSE,3,0.06469888290806387,-0.4632031212964564,0.6425018849561872,12000,FALSE,0.020425388028955396,-0.14623287239978314,0.20283735544883308,FALSE,chlorophyll,cyclopoids
chl_log1p,oxy,TRUE,0,-24.7277265083736,-39.81105559652758,-9.640362492558594,12000,TRUE,-0.4423122749809435,-0.712112315069887,-0.17244006092839173,TRUE,chlorophyll,oxygen
chl_log1p,pH,TRUE,0,-1.2389441068691553,-2.0321448746898874,-0.4440639090292369,12000,TRUE,-0.4586235751816078,-0.7522450307079783,-0.16438044011747915,TRUE,chlorophyll,pH
defor,cal_log1p,FALSE,3,-6.563091445855848e-4,-0.005202463244855863,0.0028753466321045544,12000,FALSE,-0.016711595664239715,-0.13247028922779586,0.07321493339942127,FALSE,deforestation,calanoids
defor,chl_log1p,TRUE,0,0.004811805934954929,1.2930357630789224e-4,0.009467656905453413,12000,TRUE,0.3247446744383652,0.008726587971220019,0.6389640814731669,TRUE,deforestation,chlorophyll
defor,cyc_log1p,FALSE,4,2.107559212454197e-4,-0.0025733152490915036,0.0037626731127016803,12000,FALSE,0.004490422991568703,-0.054827754735389,0.08016853692740648,FALSE,deforestation,cyclopoids
defor,oxy,FALSE,2,-0.19293434916210517,-0.4069233419791748,-0.03138704986368383,12000,TRUE,-0.2329100839191664,-0.491237305024442,-0.037890403909277094,TRUE,deforestation,oxygen
defor,pH,FALSE,1,-0.005555584314868158,-0.0142162218309579,-6.927396892402574e-5,12000,TRUE,-0.138793247830506,-0.35515896942055764,-0.0017306476856707104,TRUE,deforestation,pH
defor,temp,TRUE,0,-0.050826545681243174,-0.11547578409323568,0.014612982466526606,12000,FALSE,-0.2994865067551999,-0.6804208062808283,0.08610443644196115,FALSE,deforestation,temperature
oxy,cal_log1p,TRUE,0,0.005328995376157589,-0.013120641040501344,0.023502672872037538,12000,FALSE,0.1124025256513612,-0.2767488216851555,0.4957331736848984,FALSE,oxygen,calanoids
oxy,cyc_log1p,FALSE,1,3.992272557571167e-5,-0.004593267659818135,0.0053224957177284505,12000,FALSE,7.046101804666357e-4,-0.08106819131319602,0.09393859297229824,FALSE,oxygen,cyclopoids
pH,cal_log1p,TRUE,0,-0.033695376210033226,-0.4179245378784029,0.33792874795921557,12000,FALSE,-0.034343233136967743,-0.4259599224698297,0.3444260631638607,FALSE,pH,calanoids
pH,cyc_log1p,TRUE,1,-0.06336246723148076,-0.4706480220186434,0.3508800720967491,12000,FALSE,-0.05403820965154309,-0.4013886705676054,0.2992454638681148,FALSE,pH,cyclopoids
temp,cal_log1p,FALSE,1,0.00680666807426791,-0.022366559123252652,0.0445358004842763,12000,FALSE,0.02941422237003708,-0.09665447712825265,0.1924562685558901,FALSE,temperature,calanoids
temp,cyc_log1p,FALSE,1,4.8279706682767944e-5,-0.007728588347237309,0.00909767061465164,12000,FALSE,1.745763565016093e-4,-0.027946085162175446,0.03289659978660384,FALSE,temperature,cyclopoids
temp,oxy,TRUE,0,1.5890397401446097,0.27466829132361387,2.9291219435337243,12000,TRUE,0.32555684472368485,0.056273068577142045,0.6001081493789231,TRUE,temperature,oxygen
